Date|Symbol|Short Volume|Total Volume|Market Center
20141202|NQM|0|200|Z
20141202|NQP|300|1000|Z
20141202|NQS|0|400|Z
20141202|NQU|700|3360|Z
20141202|NR|55703|110075|Z
20141202|NRCIA|100|221|Z
20141202|NRF|49899|131747|Z
20141202|NRFpB|0|500|Z
20141202|NRFpE|0|200|Z
20141202|NRG|183997|517011|Z
20141202|NRIM|100|100|Z
20141202|NRK|700|24050|Z
20141202|NRO|1000|2200|Z
20141202|NRP|5051|13611|Z
20141202|NRX|100|485|Z
20141202|NRZ|38392|85798|Z
20141202|NS|22682|54895|Z
20141202|NSAM|13389|33278|Z
20141202|NSC|42989|106827|Z
20141202|NSH|6823|17824|Z
20141202|NSIT|4000|8300|Z
20141202|NSL|1100|4265|Z
20141202|NSLP|100|3595|Z
20141202|NSM|18317|22417|Z
20141202|NSP|900|5800|Z
20141202|NSPH|15400|44100|Z
20141202|NSPR|6400|7749|Z
20141202|NSR|18184|31905|Z
20141202|NSS|0|124|Z
20141202|NSTG|1601|3201|Z
20141202|NSU|12500|19976|Z
20141202|NTAP|90172|165445|Z
20141202|NTCT|6058|14455|Z
20141202|NTES|5073|6667|Z
20141202|NTG|0|100|Z
20141202|NTGR|1212|2412|Z
20141202|NTI|14508|28785|Z
20141202|NTK|100|1000|Z
20141202|NTLS|30335|82485|Z
20141202|NTP|3000|6530|Z
20141202|NTRI|5680|12372|Z
20141202|NTRS|32469|65290|Z
20141202|NTRSP|600|2600|Z
20141202|NTT|6516|27122|Z
20141202|NTWK|0|100|Z
20141202|NTX|0|100|Z
20141202|NU|85826|128714|Z
20141202|NUAN|101135|181895|Z
20141202|NUE|51047|72865|Z
20141202|NUGT|167065|489357|Z
20141202|NUM|0|500|Z
20141202|NUO|0|100|Z
20141202|NURO|100|100|Z
20141202|NUS|24797|32997|Z
20141202|NUV|0|600|Z
20141202|NUVA|17125|29007|Z
20141202|NUW|0|560|Z
20141202|NVAX|116343|181720|Z
20141202|NVDA|350733|709705|Z
20141202|NVDQ|10900|16338|Z
20141202|NVEE|900|1200|Z
20141202|NVFY|0|1300|Z
20141202|NVG|0|300|Z
20141202|NVGN|0|100|Z
20141202|NVGS|4900|14700|Z
